"Province_State" "Country_Region" "Lat" "Long_" "Confirmed" "Deaths" "Recovered" "Active"
"139" "Arauca" "Colombia" 7.0762 -70.7105 4064 117 3773 174
"140" "Atlantico" "Colombia" 10.6966 -74.8741 77561 3199 72753 1609
"141" "Bolivar" "Colombia" 8.6704 -74.03 37722 903 35405 1414
"142" "Boyaca" "Colombia" 5.4545 -73.362 21321 456 19319 1546
"143" "Caldas" "Colombia" 5.2983 -75.2479 24239 468 21580 2191
"144" "Capital District" "Colombia" 4.711 -74.0721 372174 8477 343622 20075
"145" "Caqueta" "Colombia" 0.8699 -73.8419 13216 472 11999 745
"146" "Casanare" "Colombia" 5.7589 -71.5724 6673 147 6129 397
"147" "Cauca" "Colombia" 2.705 -76.826 15682 437 14210 1035
"148" "Cesar" "Colombia" 9.3373 -73.6536 29410 896 26737 1777
"149" "Choco" "Colombia" 5.2528 -76.826 4507 166 4232 109
"150" "Cordoba" "Colombia" 8.0493 -75.574 28160 1649 25494 1017
"151" "Cundinamarca" "Colombia" 5.026 -74.03 51718 1401 47644 2673
"152" "Guainia" "Colombia" 2.5854 -68.5247 1202 19 1165 18
"153" "Guaviare" "Colombia" 1.0654 -73.2603 1827 30 1758 39
"154" "Huila" "Colombia" 2.5359 -75.5277 29602 949 27861 792
"155" "La Guajira" "Colombia" 11.3548 -72.5205 11758 456 10760 542
"156" "Magdalena" "Colombia" 10.4113 -74.4057 19933 968 18041 924
"157" "Meta" "Colombia" 3.272 -73.0877 27985 625 26245 1115
"158" "Narino" "Colombia" 1.2892 -77.3579 25303 847 23118 1338
"159" "Norte de Santander" "Colombia" 7.9463 -72.8988 28217 1353 25196 1668
"160" "Putumayo" "Colombia" 0.436 -75.5277 4928 224 4461 243
"161" "Quindio" "Colombia" 4.461 -75.6674 16752 442 15051 1259
"162" "Risaralda" "Colombia" 5.3158 -75.9928 22949 549 20838 1562
"163" "San Andres y Providencia" "Colombia" 12.5567 -81.7185 2126 33 2001 92
"164" "Santander" "Colombia" 6.6437 -73.6536 52455 1997 47048 3410
"165" "Sucre" "Colombia" 8.814 -74.7233 16438 645 15368 425
"166" "Tolima" "Colombia" 4.0925 -75.1545 28813 876 26340 1597
"167" "Valle del Cauca" "Colombia" 3.8009 -76.6413 106573 3441 96794 6338
"168" "Vaupes" "Colombia" 0.8554 -70.812 1119 12 1100 7
"169" "Vichada" "Colombia" 4.4234 -69.2878 896 11 872 13
"170" "Comoros" "Comoros" -11.6455 43.3333 611 7 586 18
"171" "Congo (Brazzaville)" "Congo (Brazzaville)" -0.228 15.8277 5774 94 4988 692
"172" "Congo (Kinshasa)" "Congo (Kinshasa)" -4.0383 21.7587 12608 333 11495 780
"173" "Costa Rica" "Costa Rica" 9.7489 -83.7534 137093 1690 84991 50412
"174" "Croatia" "Croatia" 45.1 15.2 123693 1655 98465 23573
"175" "Cuba" "Cuba" 21.521757 -77.781167 8173 133 7554 486
"176" "Cyprus" "Cyprus" 35.1264 33.4299 10231 48 2057 8126
"177" "Czechia" "Czechia" 49.8175 15.473 518649 8054 442327 68268
"178" "Faroe Islands" "Denmark" 61.8926 -6.9118 502 0 498 4
"179" "Greenland" "Denmark" 71.7069 -42.6043 18 0 18 0
"180" "Denmark" "Denmark" 56.2639 9.5018 78354 823 61461 16070
"181" "Djibouti" "Djibouti" 11.8251 42.5903 5676 61 5577 38
"182" "Dominica" "Dominica" 15.415 -61.371 85 0 63 22
"183" "Dominican Republic" "Dominican Republic" 18.7357 -70.1627 142653 2328 114317 26008
"184" "Ecuador" "Ecuador" -1.8312 -78.1834 190909 13371 164009 13529
"185" "Egypt" "Egypt" 26.820553 30.802498 115183 6621 102490 6072
"186" "El Salvador" "El Salvador" 13.7942 -88.8965 38405 1107 35078 2220
"187" "Equatorial Guinea" "Equatorial Guinea" 1.6508 10.2679 5153 85 5009 59
"188" "Eritrea" "Eritrea" 15.1794 39.7823 577 0 498 79
"189" "Estonia" "Estonia" 58.5953 25.0136 11698 109 6974 4615
"190" "Eswatini" "Eswatini" -26.5225 31.4659 6406 121 5987 298
"191" "Ethiopia" "Ethiopia" 9.145 40.4897 108930 1695 68250 38985
"192" "Fiji" "Fiji" -17.7134 178.065 38 2 33 3
"193" "Finland" "Finland" 61.92411 25.748151 24307 393 16800 7114
"194" "French Guiana" "France" 4 -53 11179 70 9995 1114
"195" "French Polynesia" "France" -17.6797 -149.4068 14096 73 4842 9181
"196" "Guadeloupe" "France" 16.265 -61.551 8344 149 2242 5953
"197" "Martinique" "France" 14.6415 -61.0242 5413 40 98 5275
"198" "Mayotte" "France" -12.8275 45.166244 5181 49 2964 2168
"199" "New Caledonia" "France" -20.904305 165.618042 32 0 32 0
"200" "Reunion" "France" -21.1151 55.5364 7940 40 7172 728
"201" "Saint Barthelemy" "France" 17.9 -62.8333 127 0 94 33
"202" "Saint Pierre and Miquelon" "France" 46.8852 -56.3159 16 0 12 4
"203" "St Martin" "France" 18.0708 -63.0501 690 12 598 80
"204" "France" "France" 46.2276 2.2137 2207771 51779 138666 2017326
"205" "Gabon" "Gabon" -0.8037 11.6094 9191 59 9037 95
"206" "Gambia" "Gambia" 13.4432 -15.3101 3731 123 3590 18
"207" "Georgia" "Georgia" 42.3154 43.3569 127942 1195 106328 20419
"208" "Baden-Wurttemberg" "Germany" 48.6616 9.3501 147887 2702 100985 44200
"209" "Bayern" "Germany" 48.7904 11.4979 205211 3785 142800 58626
"210" "Berlin" "Germany" 52.52 13.405 63064 539 41780 20745
"211" "Brandenburg" "Germany" 52.4125 12.5316 19557 362 13940 5255
"212" "Bremen" "Germany" 53.0793 8.8017 10047 119 7958 1970
"213" "Hamburg" "Germany" 53.5511 9.9937 24606 372 15814 8420
"214" "Hessen" "Germany" 50.6521 9.1624 86279 1240 56180 28859
"215" "Mecklenburg-Vorpommern" "Germany" 53.6127 12.4296 5908 61 4390 1457
"216" "Niedersachsen" "Germany" 52.6367 9.8451 70857 1150 53789 15918
"217" "Nordrhein-Westfalen" "Germany" 51.4332 7.6616 258390 3418 182205 72767
"218" "Rheinland-Pfalz" "Germany" 50.1183 7.309 43036 515 26109 16412
"219" "Saarland" "Germany" 49.3964 7.023 12827 278 10199 2350
"220" "Sachsen" "Germany" 51.1045 13.2017 53804 882 32640 20282
"221" "Sachsen-Anhalt" "Germany" 51.9503 11.6923 11998 163 7922 3913
"222" "Schleswig-Holstein" "Germany" 54.2194 9.6961 14192 249 10906 3037
"223" "Thuringen" "Germany" 51.011 10.8453 16686 346 10987 5353
"224" "Ghana" "Ghana" 7.9465 -1.0232 51379 323 50298 758
"225" "Greece" "Greece" 39.0742 21.8243 103034 2223 23074 77737
"226" "Grenada" "Grenada" 12.1165 -61.679 41 0 30 11
"227" "Guatemala" "Guatemala" 15.7835 -90.2308 121798 4161 110209 7428
"228" "Guinea" "Guinea" 9.9456 -9.6966 13039 76 11982 981
"229" "Guinea-Bissau" "Guinea-Bissau" 11.8037 -15.1804 2422 43 2309 70
"230" "Guyana" "Guyana" 4.860416 -58.93018 5338 149 4317 872
"231" "Haiti" "Haiti" 18.9712 -72.2852 9272 232 7951 1089
"232" "Holy See" "Holy See" 41.9029 12.4534 27 0 15 12
"233" "Honduras" "Honduras" 15.2 -86.2419 107513 2905 47638 56970
"234" "Hungary" "Hungary" 47.1625 19.5033 204708 4516 54021 146171
"235" "Iceland" "Iceland" 64.9631 -19.0208 5371 26 5152 193
"236" "Andaman and Nicobar Islands" "India" 11.225999 92.968178 4698 61 4518 119
"237" "Andhra Pradesh" "India" 15.9129 79.74 867063 6981 848511 11571
"238" "Arunachal Pradesh" "India" 27.768456 96.384277 16262 51 15323 888
"239" "Assam" "India" 26.357149 92.830441 212483 980 208190 3313
"240" "Bihar" "India" 25.679658 85.60484 233572 1253 226939 5380
"241" "Chandigarh" "India" 30.733839 76.768278 17246 274 15857 1115
"242" "Chhattisgarh" "India" 21.264705 82.035366 234725 2830 210917 20978
"243" "Dadra and Nagar Haveli and Daman and Diu" "India" 20.194742 73.080901 3330 2 3305 23
"244" "Delhi" "India" 28.646519 77.10898 561742 8998 516166 36578
"245" "Goa" "India" 15.359682 74.057396 47689 686 45655 1348
"246" "Gujarat" "India" 22.694884 71.590923 206714 3953 187969 14792
"247" "Haryana" "India" 29.20004 76.332824 230713 2375 208422 19916
"248" "Himachal Pradesh" "India" 31.927213 77.233081 38977 623 29780 8574
"249" "Jammu and Kashmir" "India" 33.75943 76.612638 109383 1680 102591 5112
"250" "Jharkhand" "India" 23.654536 85.557631 108786 963 105669 2154
"251" "Karnataka" "India" 14.70518 76.166436 882608 11750 846082 24776
"252" "Kerala" "India" 10.450898 76.405749 593957 2196 526797 64964
"253" "Ladakh" "India" 34.1526 77.5771 8328 116 7327 885
"254" "Lakshadweep" "India" 13.6999972 72.1833326 0 0 0 0
"255" "Madhya Pradesh" "India" 23.541513 78.289633 203231 3237 185013 14981
"256" "Maharashtra" "India" 19.449759 76.108221 1814515 46986 1676564 90965
"257" "Manipur" "India" 24.738975 93.882541 24749 263 21203 3283
"258" "Meghalaya" "India" 25.536934 91.278882 11704 111 10735 858
"259" "Mizoram" "India" 23.309381 92.83822 3822 5 3425 392
"260" "Nagaland" "India" 26.06702 94.470302 11115 64 9830 1221
"261" "Odisha" "India" 20.505428 84.418059 317789 1730 310549 5510
"262" "Puducherry" "India" 11.882658 78.86498 36902 609 35774 519
"263" "Punjab" "India" 30.841465 75.40879 150805 4765 138206 7834
"264" "Rajasthan" "India" 26.583423 73.847973 262805 2274 231780 28751
"265" "Sikkim" "India" 27.571671 88.472712 4967 107 4572 288
"266" "Tamil Nadu" "India" 11.006091 78.400624 779046 11694 756279 11073
"267" "Telangana" "India" 18.1124 79.0193 269223 1455 257278 10490
"268" "Tripura" "India" 23.746783 91.743565 32674 370 31655 649
"269" "Uttar Pradesh" "India" 26.925425 80.560982 539899 7718 506938 25243
"270" "Uttarakhand" "India" 30.156447 79.197608 73951 1214 67861 4876
"271" "West Bengal" "India" 23.814082 87.979803 477446 8322 444587 24537
"272" "Indonesia" "Indonesia" -0.7893 113.9213 527999 16646 441983 69370
"273" "Iran" "Iran" 32.427908 53.688046 935799 47486 648831 239482
"274" "Iraq" "Iraq" 33.223191 43.679291 548821 12200 478537 58084
"275" "Ireland" "Ireland" 53.1424 -7.6921 71942 2050 23364 46528
"276" "Israel" "Israel" 31.046051 34.851612 334789 2854 322012 9923
"277" "Abruzzo" "Italy" 42.35122196 13.39843823 27056 879 8415 17762
"278" "Basilicata" "Italy" 40.63947052 15.80514834 7878 142 1663 6073
"279" "Calabria" "Italy" 38.90597598 16.59440194 16150 272 4894 10984
"280" "Campania" "Italy" 40.83956555 14.25084984 151671 1595 45693 104383
"281" "Emilia-Romagna" "Italy" 44.49436681 11.3417208 119184 5684 43717 69783
"282" "Friuli Venezia Giulia" "Italy" 45.6494354 13.76813649 29395 801 14598 13996
"283" "Lazio" "Italy" 41.89277044 12.48366722 116198 2309 24627 89262
"284" "Liguria" "Italy" 44.41149315 8.9326992 51011 2361 35925 12725
"285" "Lombardia" "Italy" 45.46679409 9.190347404 402659 21512 250832 130315
"286" "Marche" "Italy" 43.61675973 13.5188753 29036 1242 10551 17243
"287" "Molise" "Italy" 41.55774754 14.65916051 4512 113 1802 2597
"288" "P.A. Bolzano" "Italy" 46.49933453 11.35662422 23157 523 11076 11558
"289" "P.A. Trento" "Italy" 46.06893511 11.12123097 15292 629 12530 2133
"290" "Piemonte" "Italy" 45.0732745 7.680687483 164310 6070 82163 76077
"291" "Puglia" "Italy" 41.12559576 16.86736689 52311 1432 13225 37654
"292" "Sardegna" "Italy" 39.21531192 9.110616306 20730 432 7179 13119
"293" "Sicilia" "Italy" 38.11569725 13.3623567 61524 1461 20181 39882
"294" "Toscana" "Italy" 43.76923077 11.25588885 101640 2563 54005 45072
"295" "Umbria" "Italy" 43.10675841 12.38824698 23430 389 14388 8653
"296" "Veneto" "Italy" 45.43490485 12.33845213 140972 3644 58756 78572
"297" "Jamaica" "Jamaica" 18.1096 -77.2975 10669 251 5953 4465
"298" "Aichi" "Japan" 35.035551 137.211621 9861 105 7624 2132
"299" "Akita" "Japan" 39.748679 140.408228 90 1 70 19
"300" "Aomori" "Japan" 40.781541 140.828896 287 6 265 16
"301" "Chiba" "Japan" 35.510141 140.198917 6865 85 5840 940
"302" "Ehime" "Japan" 33.624835 132.856842 304 6 141 157
"303" "Fukui" "Japan" 35.846614 136.224654 314 11 270 33
"304" "Fukuoka" "Japan" 33.526032 130.666949 5752 106 5306 340
"305" "Fukushima" "Japan" 37.378867 140.223295 499 6 425 68
"306" "Gifu" "Japan" 35.778671 137.055925 1034 15 836 183
"307" "Gunma" "Japan" 36.504479 138.985605 1177 20 956 201
"308" "Hiroshima" "Japan" 34.605309 132.788719 818 6 714 98
"309" "Hokkaido" "Japan" 43.385711 142.552318 8515 176 5603 2736
"310" "Hyogo" "Japan" 35.039913 134.828057 5466 78 4388 1000
"311" "Ibaraki" "Japan" 36.303588 140.319591 1508 22 1077 409
"312" "Ishikawa" "Japan" 36.769464 136.771027 846 51 781 14
"313" "Iwate" "Japan" 39.593287 141.361777 183 1 85 97
"314" "Kagawa" "Japan" 34.217292 133.969047 143 2 116 25
"315" "Kagoshima" "Japan" 31.009484 130.430665 623 15 567 41
"316" "Kanagawa" "Japan" 35.415312 139.338983 12347 192 10574 1581
"317" "Kochi" "Japan" 33.422519 133.367307 149 4 141 4
"318" "Kumamoto" "Japan" 32.608154 130.745231 1009 14 903 92
"319" "Kyoto" "Japan" 35.253815 135.443341 2645 36 2281 328
"320" "Mie" "Japan" 34.508018 136.376013 825 6 623 196
"321" "Miyagi" "Japan" 38.446859 140.927086 1196 9 969 218
"322" "Miyazaki" "Japan" 32.193204 131.299374 483 1 384 98
"323" "Nagano" "Japan" 36.132134 138.045528 693 6 534 153
"324" "Nagasaki" "Japan" 33.235712 129.608033 269 3 247 19
"325" "Nara" "Japan" 34.317451 135.871644 1093 11 870 212
"326" "Niigata" "Japan" 37.521819 138.918647 329 0 227 102
"327" "Oita" "Japan" 33.200697 131.43324 273 3 182 88
"328" "Okayama" "Japan" 34.89246 133.826252 583 11 363 209
"329" "Okinawa" "Japan" 25.768923 126.668016 4253 70 3744 439
"330" "Osaka" "Japan" 34.620965 135.507481 19631 278 15322 4031
"331" "Saga" "Japan" 33.286977 130.115738 305 1 283 21
"332" "Saitama" "Japan" 35.997101 139.347635 8228 136 6776 1316
"333" "Shiga" "Japan" 35.215827 136.138064 777 9 680 88
"334" "Shimane" "Japan" 35.07076 132.554064 146 0 140 6
"335" "Shizuoka" "Japan" 34.916975 138.407784 1560 9 910 641
"336" "Tochigi" "Japan" 36.689912 139.819213 619 2 526 91
"337" "Tokushima" "Japan" 33.919178 134.242091 181 9 162 10
"338" "Tokyo" "Japan" 35.711343 139.446921 40259 477 35418 4364
"339" "Tottori" "Japan" 35.359069 133.863619 58 0 49 9
"340" "Toyama" "Japan" 36.637464 137.269346 458 26 407 25
"341" "Wakayama" "Japan" 33.911879 135.505446 436 6 337 93
"342" "Yamagata" "Japan" 38.448396 140.102154 133 1 97 35
"343" "Yamaguchi" "Japan" 34.20119 131.573293 382 2 254 126
"344" "Yamanashi" "Japan" 35.612364 138.611489 338 7 282 49
"345" "Jordan" "Jordan" 31.24 36.51 210709 2626 142710 65373
"346" "Kazakhstan" "Kazakhstan" 48.0196 66.9237 130865 1990 116187 12688
"347" "Kenya" "Kenya" -0.0236 37.9062 82605 1445 54399 26761
"348" "Kosovo" "Kosovo" 42.602636 20.902977 38431 989 23754 13688
"349" "Kuwait" "Kuwait" 29.31166 47.481766 142195 875 135889 5431
"350" "Kyrgyzstan" "Kyrgyzstan" 41.20438 74.766098 71971 1262 63407 7302
"351" "Laos" "Laos" 19.85627 102.495496 39 0 24 15
"352" "Latvia" "Latvia" 56.8796 24.6032 16561 193 1719 14649
"353" "Lebanon" "Lebanon" 33.8547 35.8623 125678 991 74950 49737
"354" "Lesotho" "Lesotho" -29.61 28.2336 2109 44 1278 787
"355" "Liberia" "Liberia" 6.428055 -9.429499 1595 83 1343 169
"356" "Libya" "Libya" 26.3351 17.228331 81273 1153 52299 27821
"357" "Liechtenstein" "Liechtenstein" 47.14 9.55 1253 15 1024 214
"358" "Lithuania" "Lithuania" 55.1694 23.8813 58212 482 14056 43674
"359" "Luxembourg" "Luxembourg" 49.8153 6.1296 33409 300 24073 9036
"360" "Madagascar" "Madagascar" -18.766947 46.869107 17341 251 16657 433
"361" "Malawi" "Malawi" -13.2543 34.3015 6025 185 5453 387
"362" "Malaysia" "Malaysia" 4.210484 101.975766 63176 354 51314 11508
"363" "Maldives" "Maldives" 3.2028 73.2207 12947 46 11781 1120
"364" "Mali" "Mali" 17.570692 -3.996166 4659 149 3138 1372
"365" "Malta" "Malta" 35.9375 14.3754 9609 132 7418 2059
"366" "Marshall Islands" "Marshall Islands" 7.1315 171.1845 4 0 1 3
"367" "Mauritania" "Mauritania" 21.0079 -10.9408 8458 172 7665 621
"368" "Mauritius" "Mauritius" -20.348404 57.552152 501 10 443 48
"369" "Aguascalientes" "Mexico" 21.8853 -102.2916 13082 1113 0 11969
"370" "Baja California" "Mexico" 30.8406 -115.2838 26595 4258 0 22337
"371" "Baja California Sur" "Mexico" 26.0444 -111.6661 14344 665 0 13679
"372" "Campeche" "Mexico" 19.8301 -90.5349 6768 920 0 5848
"373" "Chiapas" "Mexico" 16.7569 -93.1292 7732 1089 0 6643
