"Province_State" "Country_Region" "Confirmed" "Deaths" "Recovered" "Active"
"190" "Dominican Republic" "Dominican Republic" 182103 2427 138076 41600
"191" "Ecuador" "Ecuador" 221070 14177 190350 16543
"192" "Egypt" "Egypt" 149792 8197 118900 22695
"193" "El Salvador" "El Salvador" 48905 1419 43356 4130
"194" "Equatorial Guinea" "Equatorial Guinea" 5289 86 5154 49
"195" "Eritrea" "Eritrea" 1445 3 740 747
"196" "Estonia" "Estonia" 33516 283 22876 10357
"197" "Eswatini" "Eswatini" 11435 295 7676 3464
"198" "Ethiopia" "Ethiopia" 128316 1994 113374 12948
"199" "Fiji" "Fiji" 53 2 47 4
"200" "Finland" "Finland" 38590 586 31000 7004
"201" "French Guiana" "France" 14113 74 9995 4044
"202" "French Polynesia" "France" 17241 122 4842 12277
"203" "Guadeloupe" "France" 8702 155 2242 6305
"204" "Martinique" "France" 6117 43 98 5976
"205" "Mayotte" "France" 6232 56 2964 3212
"206" "New Caledonia" "France" 40 0 40 0
"207" "Reunion" "France" 9247 42 8830 375
"208" "Saint Barthelemy" "France" 206 1 172 33
"209" "Saint Pierre and Miquelon" "France" 16 0 15 1
"210" "St Martin" "France" 1025 12 855 158
"211" "Wallis and Futuna" "France" 4 0 1 3
"212" "France" "France" 2777921 67380 178300 2532241
"213" "Gabon" "Gabon" 9694 66 9498 130
"214" "Gambia" "Gambia" 3857 125 3677 55
"215" "Georgia" "Georgia" 239229 2773 225335 11121
"216" "Baden-Wurttemberg" "Germany" 261487 5575 215062 40850
"217" "Bayern" "Germany" 356922 7913 294588 54421
"218" "Berlin" "Germany" 106197 1565 88003 16629
"219" "Brandenburg" "Germany" 54894 1490 38798 14606
"220" "Bremen" "Germany" 14372 223 12808 1341
"221" "Hamburg" "Germany" 40693 820 31080 8793
"222" "Hessen" "Germany" 150790 3513 121514 25763
"223" "Mecklenburg-Vorpommern" "Germany" 14769 242 11255 3272
"224" "Niedersachsen" "Germany" 120634 2340 102222 16072
"225" "Nordrhein-Westfalen" "Germany" 429506 7978 359623 61905
"226" "Rheinland-Pfalz" "Germany" 80449 1780 62251 16418
"227" "Saarland" "Germany" 22347 569 19598 2180
"228" "Sachsen" "Germany" 155682 4130 121300 30252
"229" "Sachsen-Anhalt" "Germany" 37688 890 28639 8159
"230" "Schleswig-Holstein" "Germany" 28624 554 21997 6073
"231" "Thuringen" "Germany" 51606 1354 38169 12083
"232" "Ghana" "Ghana" 55772 336 54438 998
"233" "Greece" "Greece" 144738 5263 93764 45711
"234" "Grenada" "Grenada" 127 0 107 8
"235" "Guatemala" "Guatemala" 143243 5025 131017 7201
"236" "Guinea" "Guinea" 13942 81 13223 638
"237" "Guinea-Bissau" "Guinea-Bissau" 2478 45 2400 33
"238" "Guyana" "Guyana" 6574 169 6036 369
"239" "Haiti" "Haiti" 10272 238 8768 1266
"240" "Holy See" "Holy See" 27 0 15 12
"241" "Honduras" "Honduras" 127945 3273 58788 65884
"242" "Hungary" "Hungary" 342237 10648 197936 133653
"243" "Iceland" "Iceland" 5890 29 5718 143
"244" "Andaman and Nicobar Islands" "India" 4960 62 4875 23
"245" "Andhra Pradesh" "India" 884916 7129 875243 2544
"246" "Arunachal Pradesh" "India" 16772 56 16650 66
"247" "Assam" "India" 216590 1061 212515 3014
"248" "Bihar" "India" 255700 1434 250088 4178
"249" "Chandigarh" "India" 20295 327 19727 241
"250" "Chhattisgarh" "India" 289231 3490 276774 8967
"251" "Dadra and Nagar Haveli and Daman and Diu" "India" 3380 2 3376 2
"252" "Delhi" "India" 630200 10678 616054 3468
"253" "Goa" "India" 51856 747 50277 832
"254" "Gujarat" "India" 251944 4344 239771 7829
"255" "Haryana" "India" 264955 2950 259495 2510
"256" "Himachal Pradesh" "India" 56452 959 54522 971
"257" "Jammu and Kashmir" "India" 122538 1910 118617 2011
"258" "Jharkhand" "India" 116817 1047 114302 1468
"259" "Karnataka" "India" 927559 12140 905751 9668
"260" "Kerala" "India" 811148 3302 743467 64379
"261" "Ladakh" "India" 9618 127 9294 197
"262" "Lakshadweep" "India" 0 0 0 0
"263" "Madhya Pradesh" "India" 248597 3711 237063 7823
"264" "Maharashtra" "India" 1969114 50061 1863702 55351
"265" "Manipur" "India" 28660 365 27805 490
"266" "Meghalaya" "India" 13611 143 13313 155
"267" "Mizoram" "India" 4293 9 4192 92
"268" "Nagaland" "India" 11978 84 11778 116
"269" "Odisha" "India" 331862 1891 328043 1928
"270" "Puducherry" "India" 38455 638 37501 316
"271" "Punjab" "India" 169033 5445 160655 2933
"272" "Rajasthan" "India" 312996 2734 303536 6726
"273" "Sikkim" "India" 5988 129 5508 351
"274" "Tamil Nadu" "India" 826261 12222 806875 7164
"275" "Telangana" "India" 290008 1566 283924 4518
"276" "Tripura" "India" 33307 388 32869 50
"277" "Uttar Pradesh" "India" 593171 8495 573542 11134
"278" "Uttarakhand" "India" 93621 1573 88918 3130
"279" "West Bengal" "India" 560709 9941 542887 7881
"280" "Indonesia" "Indonesia" 828026 24129 681024 122873
"281" "Iran" "Iran" 1286406 56171 1074887 155348
"282" "Iraq" "Iraq" 602938 12895 556742 33301
"283" "Ireland" "Ireland" 147613 2344 23364 121905
"284" "Israel" "Israel" 491319 3671 419907 67741
"285" "Abruzzo" "Italy" 37753 1277 24935 11541
"286" "Basilicata" "Italy" 11879 275 4967 6637
"287" "Calabria" "Italy" 26934 514 16808 9612
"288" "Campania" "Italy" 199771 3128 121255 75388
"289" "Emilia-Romagna" "Italy" 190892 8337 122647 59908
"290" "Friuli Venezia Giulia" "Italy" 56233 1898 41450 12885
"291" "Lazio" "Italy" 179661 4131 96745 78785
"292" "Liguria" "Italy" 63774 3010 55538 5226
"293" "Lombardia" "Italy" 500758 25787 417173 57798
"294" "Marche" "Italy" 46815 1698 29871 15246
"295" "Molise" "Italy" 7090 212 5632 1246
"296" "P.A. Bolzano" "Italy" 31519 778 19081 11660
"297" "P.A. Trento" "Italy" 23640 1013 20629 1998
"298" "Piemonte" "Italy" 206962 8176 183444 15342
"299" "Puglia" "Italy" 101613 2672 43662 55279
"300" "Sardegna" "Italy" 33794 828 15739 17227
"301" "Sicilia" "Italy" 108055 2728 63821 41506
"302" "Toscana" "Italy" 124951 3855 111995 9101
"303" "Umbria" "Italy" 30906 660 25942 4304
"304" "Valle d Aosta" "Italy" 7505 389 6686 430
"305" "Veneto" "Italy" 285986 7389 189784 88813
"306" "Jamaica" "Jamaica" 13548 312 11429 1807
"307" "Aichi" "Japan" 19437 252 15474 3711
"308" "Akita" "Japan" 173 1 133 39
"309" "Aomori" "Japan" 561 8 464 89
"310" "Chiba" "Japan" 14227 132 9864 4231
"311" "Ehime" "Japan" 662 13 431 218
"312" "Fukui" "Japan" 397 12 338 47
"313" "Fukuoka" "Japan" 11349 119 8113 3117
"314" "Fukushima" "Japan" 1225 27 838 360
"315" "Gifu" "Japan" 3037 44 2213 780
"316" "Gunma" "Japan" 2872 45 2233 594
"317" "Hiroshima" "Japan" 4067 50 2880 1137
"318" "Hokkaido" "Japan" 14706 482 12573 1651
"319" "Hyogo" "Japan" 12127 264 10096 1767
"320" "Ibaraki" "Japan" 3140 41 2377 722
"321" "Ishikawa" "Japan" 1227 53 993 181
"322" "Iwate" "Japan" 429 25 340 64
"323" "Kagawa" "Japan" 427 4 256 167
"324" "Kagoshima" "Japan" 1245 15 975 255
"325" "Kanagawa" "Japan" 27385 296 21617 5472
"326" "Kochi" "Japan" 732 12 635 85
"327" "Kumamoto" "Japan" 2452 33 1719 700
"328" "Kyoto" "Japan" 5937 71 4368 1498
"329" "Mie" "Japan" 1562 20 1223 319
