"name","points","speed","dist","dist_points","note_points","id","round","wind_comp","gate_points"
"104603","schlierenzauer gregor",168.9,105,193,111.6,49.5,"2021JP3002RL","3rd round",7.8,0
"104604","schlierenzauer gregor",174.8,104.9,202,122.4,51,"2021JP3002RL","final round",1.4,0
"104605","soukup matthew",169.2,104,204,124.8,51,"2021JP3002RL","1st round",-6.6,0
"104606","soukup matthew",156.3,103.9,196.5,115.8,46.5,"2021JP3002RL","2nd round",-6,0
"104607","soukup matthew",165.6,104.3,191.5,109.8,49,"2021JP3002RL","3rd round",6.8,0
"104608","soukup matthew",172.9,104.2,200,120,50.5,"2021JP3002RL","final round",2.4,0
"104609","eriksen sander vossan",174.4,104.3,207,128.4,51.5,"2021JP3002RL","1st round",-5.5,0
"104610","eriksen sander vossan",179.7,104.1,208,129.6,53,"2021JP3002RL","2nd round",-2.9,0
"104611","eriksen sander vossan",138.1,104.4,172.5,87,44,"2021JP3002RL","3rd round",7.1,0
"104612","eriksen sander vossan",171.1,104.3,198,117.6,50,"2021JP3002RL","final round",3.5,0
"104613","nazarov mikhail",166,103.9,203,123.6,51,"2021JP3002RL","1st round",-8.6,0
"104614","nazarov mikhail",145.9,103.5,178.5,94.2,47,"2021JP3002RL","2nd round",4.7,0
"104615","nazarov mikhail",173.3,104.2,199.5,119.4,49.5,"2021JP3002RL","3rd round",4.4,0
"104616","nazarov mikhail",166.9,104,195.5,114.6,48.5,"2021JP3002RL","final round",3.8,0
"104617","zajc timi",170.8,103.6,205,126,51,"2021JP3002RL","1st round",-6.2,0
"104618","zajc timi",168.5,103.9,199,118.8,49.5,"2021JP3002RL","2nd round",0.2,0
"104619","sadreev danil",163.3,103.8,196,115.2,49.5,"2021JP3002RL","1st round",-1.4,0
"104620","mankov ilya",162.9,103.6,195,114,49.5,"2021JP3002RL","1st round",-0.6,0
"104621","kozisek cestmir",159.7,104.3,194.5,113.4,50.5,"2021JP3002RL","1st round",-4.2,0
"104622","kahofer timon-pascal",151.4,104.6,181.5,97.8,46.5,"2021JP3002RL","1st round",7.1,0
"104623","nakamura naoki",151.3,103.6,185.5,102.6,48.5,"2021JP3002RL","1st round",0.2,0
"104624","nousiainen eetu",148.9,103.2,183.5,100.2,48,"2021JP3002RL","1st round",0.7,0
"104625","maatta jarkko",143.8,103.6,174.5,89.4,48,"2021JP3002RL","1st round",6.4,0
"104626","kalinichenko vitaliy",143.4,103.9,176.5,91.8,46.5,"2021JP3002RL","1st round",5.1,0
"104627","larson casey",141.5,103.3,181.5,97.8,48,"2021JP3002RL","1st round",-4.3,0
"104628","insam alex",134.3,103.6,179.5,95.4,44.5,"2021JP3002RL","1st round",-5.6,0
"104629","tande daniel andre",213.7,105.1,227.5,153,56,"2021JP3003RL","1st round",4.7,0
"104630","tande daniel andre",212.2,105.4,225.5,150.6,56,"2021JP3003RL","final round",5.6,0
"104631","forfang johann andre",198.5,104.6,217,140.4,53,"2021JP3003RL","1st round",5.1,0
"104632","forfang johann andre",181,104.9,202.5,123,50.5,"2021JP3003RL","final round",7.5,0
"104633","johansson robert",212.4,104.7,220,144,54,"2021JP3003RL","1st round",5.2,9.2
"104634","johansson robert",221.5,104.6,229.5,155.4,55.5,"2021JP3003RL","final round",1.4,9.2
"104635","granerud halvor egner",238.3,103.6,235,162,55,"2021JP3003RL","1st round",3,18.3
"104636","granerud halvor egner",250.1,103.2,234.5,161.4,58.5,"2021JP3003RL","final round",2.8,27.4
"104637","schmid constantin",205.2,105.6,220.5,144.6,54.5,"2021JP3003RL","1st round",6.1,0
"104638","schmid constantin",184.8,105.5,207.5,129,52.5,"2021JP3003RL","final round",3.3,0
"104639","paschke pius",201.1,105,220,144,54,"2021JP3003RL","1st round",3.1,0
"104640","paschke pius",206.8,104.9,223.5,148.2,53.5,"2021JP3003RL","final round",5.1,0
"104641","eisenbichler markus",227.3,104.8,230,156,55.5,"2021JP3003RL","1st round",6.6,9.2
"104642","eisenbichler markus",226.6,104.8,236.5,163.8,54,"2021JP3003RL","final round",-0.4,9.2
"104643","geiger karl",240.4,104.3,238,165.6,56,"2021JP3003RL","1st round",0.5,18.3
"104644","geiger karl",216.3,103.9,224.5,149.4,56,"2021JP3003RL","final round",1.7,9.2
"104645","zyla piotr",212.2,104.9,226,151.2,54,"2021JP3003RL","1st round",7,0
"104646","zyla piotr",219.4,104.9,234,160.8,55.5,"2021JP3003RL","final round",3.1,0
"104647","stekala andrzej",214,105,228,153.6,56,"2021JP3003RL","1st round",4.4,0
"104648","stekala andrzej",216.2,105,229,154.8,55.5,"2021JP3003RL","final round",5.9,0
"104649","stoch kamil",194.6,103.7,205.5,126.6,52.5,"2021JP3003RL","1st round",6.3,9.2
"104650","stoch kamil",216.1,103.9,224,148.8,56,"2021JP3003RL","final round",2.1,9.2
"104651","kubacki dawid",196.8,104.6,211,133.2,53,"2021JP3003RL","1st round",1.4,9.2
"104652","kubacki dawid",196.2,104.5,209,130.8,52,"2021JP3003RL","final round",4.2,9.2
"104653","prevc domen",189.5,104.6,211,133.2,52.5,"2021JP3003RL","1st round",3.8,0
"104654","prevc domen",208.6,104.7,226,151.2,55.5,"2021JP3003RL","final round",1.9,0
"104655","prevc peter",201.5,104.8,221,145.2,54,"2021JP3003RL","1st round",2.3,0
"104656","prevc peter",196.9,104.7,218.5,142.2,54,"2021JP3003RL","final round",0.7,0
"104657","pavlovcic bor",184.6,104.9,200,120,50,"2021JP3003RL","1st round",5.4,9.2
"104658","pavlovcic bor",180.1,105.6,201,121.2,50.5,"2021JP3003RL","final round",8.4,0
"104659","lanisek anze",223.6,104.8,231,157.2,55.5,"2021JP3003RL","1st round",1.7,9.2
"104660","lanisek anze",225.1,104.6,231.5,157.8,55.5,"2021JP3003RL","final round",2.6,9.2
"104661","sato keiichi",176.3,104.3,202,122.4,49.5,"2021JP3003RL","1st round",4.4,0
"104662","sato keiichi",175.2,104.3,202,122.4,50.5,"2021JP3003RL","final round",2.3,0
