"season","codex","hill_size_x","k.point","meter.value","gate.factor","wind.factor","id","training","place","gender","hill_size_y","team","type","date"
"81",2009,3036,142,120,1.8,NA,NA,"2009JP3036RLQ",0,"Ruka (FIN)","Men",142,0,0,"2008-11-27"
"82",2009,3022,140,125,1.8,NA,NA,"2009JP3022RL",0,"Vancouver, BC (CAN)","Men",140,0,0,"2009-01-25"
"83",2009,3021,140,125,1.8,NA,NA,"2009JP3021RTRIA",1,"Vancouver, BC (CAN)","Men",140,0,0,"2009-01-24"
"84",2009,3021,140,125,1.8,NA,NA,"2009JP3021RL",0,"Vancouver, BC (CAN)","Men",140,0,0,"2009-01-24"
"85",2009,3020,140,125,1.8,NA,NA,"2009JP3020RLT",1,"Vancouver, BC (CAN)","Men",140,0,0,"2009-01-23"
"86",2009,3020,140,125,1.8,NA,NA,"2009JP3020RLQ",0,"Vancouver, BC (CAN)","Men",140,0,0,"2009-01-23"
"87",2009,3013,200,185,1.2,NA,NA,"2009JP3013RTRIA",1,"Tauplitz (AUT)","Men",200,0,0,"2009-01-11"
"88",2009,3013,200,185,1.2,NA,NA,"2009JP3013RL",0,"Tauplitz (AUT)","Men",200,0,0,"2009-01-11"
"89",2009,3012,200,185,1.2,NA,NA,"2009JP3012RTRIA",1,"Tauplitz (AUT)","Men",200,0,0,"2009-01-10"
"90",2009,3012,200,185,1.2,NA,NA,"2009JP3012RL",0,"Tauplitz (AUT)","Men",200,0,0,"2009-01-10"
"91",2009,3011,200,185,1.2,NA,NA,"2009JP3011RLT",1,"Tauplitz (AUT)","Men",200,0,0,"2009-01-09"
"92",2009,3011,200,185,1.2,NA,NA,"2009JP3011RLQ",0,"Tauplitz (AUT)","Men",200,0,0,"2009-01-09"
"93",2009,3010,140,125,1.8,NA,NA,"2009JP3010RTRIA",1,"Bischofshofen (AUT)","Men",140,0,0,"2009-01-06"
"94",2009,3010,140,125,1.8,NA,NA,"2009JP3010RL",0,"Bischofshofen (AUT)","Men",140,0,0,"2009-01-06"
"95",2009,3009,140,125,1.8,NA,NA,"2009JP3009RLT",1,"Bischofshofen (AUT)","Men",140,0,0,"2009-01-05"
"96",2009,3009,140,125,1.8,NA,NA,"2009JP3009RLQ",0,"Bischofshofen (AUT)","Men",140,0,0,"2009-01-05"
"97",2009,3008,130,120,1.8,NA,NA,"2009JP3008RTRIA",1,"Innsbruck (AUT)","Men",130,0,0,"2009-01-04"
"98",2009,3008,130,120,1.8,NA,NA,"2009JP3008RL",0,"Innsbruck (AUT)","Men",130,0,0,"2009-01-04"
"99",2009,3007,130,120,1.8,NA,NA,"2009JP3007RLT",1,"Innsbruck (AUT)","Men",130,0,0,"2009-01-03"
"100",2009,3007,130,120,1.8,NA,NA,"2009JP3007RLQ",0,"Innsbruck (AUT)","Men",130,0,0,"2009-01-03"
"101",2015,3765,140,125,1.8,7.56,10.8,"2015JP3765RTRIA",1,"Klingenthal (GER)","Men",140,0,2,"2014-10-04"
"102",2015,3765,140,125,1.8,7.56,10.8,"2015JP3765RL",0,"Klingenthal (GER)","Men",140,0,2,"2014-10-04"
"103",2015,3764,140,125,1.8,7.56,10.8,"2015JP3764RLT",1,"Klingenthal (GER)","Men",140,0,2,"2014-10-03"
"104",2015,3764,140,125,1.8,7.56,10.8,"2015JP3764RLQ",0,"Klingenthal (GER)","Men",140,0,2,"2014-10-03"
"105",2015,3755,94,85,2,4.8,5.8,"2015JP3755RTRIA",1,"Hinzenbach (AUT)","Men",94,0,2,"2014-09-28"
"106",2015,3755,94,85,2,4.8,5.8,"2015JP3755RL",0,"Hinzenbach (AUT)","Men",94,0,2,"2014-09-28"
"107",2015,3754,94,85,2,4.8,5.8,"2015JP3754RLT",1,"Hinzenbach (AUT)","Men",94,0,2,"2014-09-27"
"108",2015,3754,94,85,2,4.8,5.8,"2015JP3754RLQ",0,"Hinzenbach (AUT)","Men",94,0,2,"2014-09-27"
"109",2015,3749,106,95,2,6.36,7,"2015JP3749RTRIA",1,"Almaty (KAZ)","Women",106,0,2,"2014-09-21"
"110",2015,3749,106,95,2,6.36,7,"2015JP3749RL",0,"Almaty (KAZ)","Women",106,0,2,"2014-09-21"
"111",2015,3748,106,95,2,6.36,7,"2015JP3748RTRIA",1,"Almaty (KAZ)","Women",106,0,2,"2014-09-20"
"112",2015,3748,106,95,2,6.36,7,"2015JP3748RLT",1,"Almaty (KAZ)","Women",106,0,2,"2014-09-20"
"113",2015,3748,106,95,2,6.36,7,"2015JP3748RL",0,"Almaty (KAZ)","Women",106,0,2,"2014-09-20"
"114",2015,3747,140,125,1.8,7.56,9.36,"2015JP3747RTRIA",1,"Almaty (KAZ)","Men",140,0,2,"2014-09-21"
"115",2015,3747,140,125,1.8,7.56,9.36,"2015JP3747RL",0,"Almaty (KAZ)","Men",140,0,2,"2014-09-21"
"116",2015,3746,140,125,1.8,7.56,9.36,"2015JP3746RTRIA",1,"Almaty (KAZ)","Men",140,0,2,"2014-09-20"
"117",2015,3746,140,125,1.8,7.56,9.36,"2015JP3746RL",0,"Almaty (KAZ)","Men",140,0,2,"2014-09-20"
"118",2015,3745,140,125,1.8,7.56,9.36,"2015JP3745RLT",1,"Almaty (KAZ)","Men",140,0,2,"2014-09-19"
"119",2015,3728,131,120,1.8,8.82,10.8,"2015JP3728RTRIA",1,"Hakuba (JPN)","Men",131,0,2,"2014-08-24"
"120",2015,3728,131,120,1.8,8.82,10.8,"2015JP3728RL",0,"Hakuba (JPN)","Men",131,0,2,"2014-08-24"
"121",2015,3727,131,120,1.8,8.82,10.8,"2015JP3727RTRIA",1,"Hakuba (JPN)","Men",131,0,2,"2014-08-23"
"122",2015,3727,131,120,1.8,8.82,10.8,"2015JP3727RL",0,"Hakuba (JPN)","Men",131,0,2,"2014-08-23"
"123",2015,3723,132,120,1.8,8.82,12.6,"2015JP3723RTRIA",1,"Courchevel (FRA)","Men",132,0,2,"2014-08-15"
"124",2015,3723,132,120,1.8,8.82,12.6,"2015JP3723RLT",1,"Courchevel (FRA)","Men",132,0,2,"2014-08-15"
"125",2015,3723,132,120,1.8,8.82,12.6,"2015JP3723RLQ",0,"Courchevel (FRA)","Men",132,0,2,"2014-08-15"
"126",2015,3723,132,120,1.8,8.82,12.6,"2015JP3723RL",0,"Courchevel (FRA)","Men",132,0,2,"2014-08-15"
"127",2015,3712,117,105,1.8,6.32,7.29,"2015JP3712RTRIA",1,"Einsiedeln (SUI)","Men",117,0,2,"2014-08-09"
"128",2015,3712,117,105,1.8,6.32,7.29,"2015JP3712RL",0,"Einsiedeln (SUI)","Men",117,0,2,"2014-08-09"
"129",2015,3711,117,105,1.8,6.32,7.29,"2015JP3711RLT",1,"Einsiedeln (SUI)","Men",117,0,2,"2014-08-08"
"130",2015,3711,117,105,1.8,6.32,7.29,"2015JP3711RLQ",0,"Einsiedeln (SUI)","Men",117,0,2,"2014-08-08"
"131",2015,3708,134,120,1.8,7.24,9.9,"2015JP3708RL",0,"Wisla (POL)","Men",134,0,2,"2014-07-26"
"132",2015,3707,134,120,1.8,7.24,9.9,"2015JP3707RTRIA",1,"Wisla (POL)","Men",134,1,2,"2014-07-25"
"133",2015,3707,134,120,1.8,7.24,9.9,"2015JP3707RL",0,"Wisla (POL)","Men",134,1,2,"2014-07-25"
"134",2015,3706,134,120,1.8,7.24,9.9,"2015JP3706RLT",1,"Wisla (POL)","Men",134,0,2,"2014-07-24"
"135",2015,3706,134,120,1.8,7.24,9.9,"2015JP3706RLQ",0,"Wisla (POL)","Men",134,0,2,"2014-07-24"
"136",2014,3787,94,85,2,4.8,5.8,"2014JP3787RLT",1,"Hinzenbach (AUT)","Men",94,0,2,"2013-09-28"
"137",2014,3787,94,85,2,4.8,5.8,"2014JP3787RLQ",0,"Hinzenbach (AUT)","Men",94,0,2,"2013-09-28"
"138",2014,3784,140,125,1.8,7.56,10.8,"2014JP3784RLT",1,"Klingenthal (GER)","Men",140,0,2,"2013-10-02"
"139",2014,3784,140,125,1.8,7.56,10.8,"2014JP3784RLQ",0,"Klingenthal (GER)","Men",140,0,2,"2013-10-02"
"140",2014,3783,117,105,1.8,6.32,7.29,"2014JP3783RLT",1,"Einsiedeln (SUI)","Men",117,0,2,"2013-08-16"
"141",2014,3783,117,105,1.8,6.32,7.29,"2014JP3783RLQ",0,"Einsiedeln (SUI)","Men",117,0,2,"2013-08-16"
"142",2014,3782,108,95,2,6.48,7.2,"2014JP3782RLT",1,"Hinterzarten (GER)","Men",108,0,2,"2013-07-26"
"143",2014,3782,108,95,2,6.48,7.2,"2014JP3782RLQ",0,"Hinterzarten (GER)","Men",108,0,2,"2013-07-26"
"144",2014,3781,140,125,1.8,7.56,10.8,"2014JP3781RTRIA",1,"Klingenthal (GER)","Men",140,0,2,"2013-10-03"
"145",2014,3781,140,125,1.8,7.56,10.8,"2014JP3781RL",0,"Klingenthal (GER)","Men",140,0,2,"2013-10-03"
"146",2014,3766,140,125,1.8,7.56,9.36,"2014JP3766RL",0,"Almaty (KAZ)","Men",140,0,2,"2013-09-22"
"147",2014,3765,140,125,1.8,7.56,9.36,"2014JP3765RTRIA",1,"Almaty (KAZ)","Men",140,0,2,"2013-09-21"
"148",2014,3765,140,125,1.8,7.56,9.36,"2014JP3765RL",0,"Almaty (KAZ)","Men",140,0,2,"2013-09-21"
"149",2014,3764,106,95,2,6.36,7,"2014JP3764RTRIA",1,"Almaty (KAZ)","Women",106,0,2,"2013-09-22"
"150",2014,3764,106,95,2,6.36,7,"2014JP3764RLT",1,"Almaty (KAZ)","Women",106,0,2,"2013-09-22"
"151",2014,3764,106,95,2,6.36,7,"2014JP3764RL",0,"Almaty (KAZ)","Women",106,0,2,"2013-09-22"
"152",2014,3763,106,95,2,6.36,7,"2014JP3763RTRIA",1,"Almaty (KAZ)","Women",68,0,2,"2013-09-21"
