"","id","name","points","speed","dist","dist_points","note_points","round","wind_comp","gate_points","season","place","gender"
"71","2021JP3002RL","zyla piotr",211.2,104.5,227,152.4,55.5,"3rd round",3.3,0,2021,"Planica (SLO)","Men"
"72","2021JP3002RL","zyla piotr",208.9,104.4,224.5,149.4,55.5,"final round",4,0,2021,"Planica (SLO)","Men"
"73","2021JP3002RL","stoch kamil",187.5,103.5,213,135.6,53.5,"1st round",-1.6,0,2021,"Planica (SLO)","Men"
"74","2021JP3002RL","stoch kamil",211.5,104.2,229,154.8,56.5,"2nd round",0.2,0,2021,"Planica (SLO)","Men"
"75","2021JP3002RL","stoch kamil",205.7,103.9,223,147.6,55.5,"3rd round",2.6,0,2021,"Planica (SLO)","Men"
"76","2021JP3002RL","stoch kamil",203.8,104.1,222.5,147,54.5,"final round",2.3,0,2021,"Planica (SLO)","Men"
"77","2021JP3002RL","klimov evgeniy",213.8,103.9,237,164.4,55,"1st round",-5.6,0,2021,"Planica (SLO)","Men"
"78","2021JP3002RL","klimov evgeniy",183.2,103.7,208,129.6,50.5,"2nd round",3.1,0,2021,"Planica (SLO)","Men"
"79","2021JP3002RL","klimov evgeniy",203.9,104.1,222.5,147,55.5,"3rd round",1.4,0,2021,"Planica (SLO)","Men"
"80","2021JP3002RL","klimov evgeniy",201.3,104,220,144,54,"final round",3.3,0,2021,"Planica (SLO)","Men"
"81","2021JP3002RL","stekala andrzej",201.9,104.5,224.5,149.4,54.5,"1st round",-2,0,2021,"Planica (SLO)","Men"
"82","2021JP3002RL","stekala andrzej",194.6,104.7,215.5,138.6,53,"2nd round",3,0,2021,"Planica (SLO)","Men"
"83","2021JP3002RL","stekala andrzej",205.3,104.5,224.5,149.4,56,"3rd round",-0.1,0,2021,"Planica (SLO)","Men"
"84","2021JP3002RL","stekala andrzej",190.6,104.5,212,134.4,52.5,"final round",3.7,0,2021,"Planica (SLO)","Men"
"85","2021JP3002RL","paschke pius",193.2,104.3,212.5,135,54,"1st round",4.2,0,2021,"Planica (SLO)","Men"
"86","2021JP3002RL","paschke pius",202.5,104.4,224.5,149.4,55.5,"2nd round",-2.4,0,2021,"Planica (SLO)","Men"
"87","2021JP3002RL","paschke pius",198.9,104.4,217,140.4,54,"3rd round",4.5,0,2021,"Planica (SLO)","Men"
"88","2021JP3002RL","paschke pius",196.3,104.2,213.5,136.2,53,"final round",7.1,0,2021,"Planica (SLO)","Men"
"89","2021JP3002RL","lanisek anze",172.5,104.1,196,115.2,49.5,"1st round",7.8,0,2021,"Planica (SLO)","Men"
"90","2021JP3002RL","lanisek anze",196.4,104.5,218.5,142.2,54,"2nd round",0.2,0,2021,"Planica (SLO)","Men"
"91","2021JP3002RL","lanisek anze",196.8,105,215.5,138.6,54,"3rd round",4.2,0,2021,"Planica (SLO)","Men"
"92","2021JP3002RL","lanisek anze",211.5,104.8,228,153.6,55.5,"final round",2.4,0,2021,"Planica (SLO)","Men"
"93","2021JP3002RL","tande daniel andre",176.5,105,203,123.6,51,"1st round",1.9,0,2021,"Planica (SLO)","Men"
"94","2021JP3002RL","tande daniel andre",195.8,104.8,218.5,142.2,55,"2nd round",-1.4,0,2021,"Planica (SLO)","Men"
"95","2021JP3002RL","tande daniel andre",205.9,105.2,224,148.8,54.5,"3rd round",2.6,0,2021,"Planica (SLO)","Men"
"96","2021JP3002RL","tande daniel andre",198.9,105,218,141.6,54,"final round",3.3,0,2021,"Planica (SLO)","Men"
"97","2021JP3002RL","schmid constantin",193.6,104.8,216.5,139.8,54.5,"1st round",-0.7,0,2021,"Planica (SLO)","Men"
"98","2021JP3002RL","schmid constantin",195.8,104.9,219.5,143.4,55,"2nd round",-2.6,0,2021,"Planica (SLO)","Men"
"99","2021JP3002RL","schmid constantin",185.3,105.1,209,130.8,50.5,"3rd round",4,0,2021,"Planica (SLO)","Men"
"100","2021JP3002RL","schmid constantin",193,104.9,213.5,136.2,54,"final round",2.8,0,2021,"Planica (SLO)","Men"
"101","2021JP3002RL","kubacki dawid",198.5,104.5,219,142.8,54.5,"1st round",1.2,0,2021,"Planica (SLO)","Men"
"102","2021JP3002RL","kubacki dawid",196.3,104.6,215.5,138.6,53.5,"2nd round",4.2,0,2021,"Planica (SLO)","Men"
"103","2021JP3002RL","kubacki dawid",190.9,104.8,211,133.2,54,"3rd round",3.7,0,2021,"Planica (SLO)","Men"
"104","2021JP3002RL","kubacki dawid",168.7,104.7,196,115.2,49.5,"final round",4,0,2021,"Planica (SLO)","Men"
"105","2021JP3002RL","aalto antti",183.9,104.3,205,126,51.5,"1st round",6.4,0,2021,"Planica (SLO)","Men"
"106","2021JP3002RL","aalto antti",187.4,104.5,208.5,130.2,52.5,"2nd round",4.7,0,2021,"Planica (SLO)","Men"
"107","2021JP3002RL","aalto antti",186.2,104.5,208.5,130.2,52.5,"3rd round",3.5,0,2021,"Planica (SLO)","Men"
"108","2021JP3002RL","aalto antti",182.4,104.4,207.5,129,52.5,"final round",0.9,0,2021,"Planica (SLO)","Men"
"109","2021JP3002RL","sato keiichi",178.4,104,205,126,50,"1st round",2.4,0,2021,"Planica (SLO)","Men"
"110","2021JP3002RL","sato keiichi",193.2,104,217.5,141,52.5,"2nd round",-0.3,0,2021,"Planica (SLO)","Men"
"111","2021JP3002RL","sato keiichi",171.4,103.9,197.5,117,49.5,"3rd round",4.9,0,2021,"Planica (SLO)","Men"
"112","2021JP3002RL","sato keiichi",180.1,103.8,206,127.2,51,"final round",1.9,0,2021,"Planica (SLO)","Men"
"113","2021JP3002RL","aschenwald philipp",174,104.9,201.5,121.8,51,"1st round",1.2,0,2021,"Planica (SLO)","Men"
"114","2021JP3002RL","aschenwald philipp",192.7,105,218,141.6,54,"2nd round",-2.9,0,2021,"Planica (SLO)","Men"
"115","2021JP3002RL","aschenwald philipp",176,105.2,200.5,120.6,50.5,"3rd round",4.9,0,2021,"Planica (SLO)","Men"
"116","2021JP3002RL","aschenwald philipp",177,105.1,203,123.6,51,"final round",2.4,0,2021,"Planica (SLO)","Men"
"117","2021JP3002RL","kobayashi ryoyu",172.6,104.1,203,123.6,51,"1st round",-2,0,2021,"Planica (SLO)","Men"
"118","2021JP3002RL","kobayashi ryoyu",187,104.4,212.5,135,53,"2nd round",-1,0,2021,"Planica (SLO)","Men"
"119","2021JP3002RL","kobayashi ryoyu",176.6,104.4,202,122.4,50.5,"3rd round",3.7,0,2021,"Planica (SLO)","Men"
"120","2021JP3002RL","kobayashi ryoyu",180.5,104.3,205,126,51,"final round",3.5,0,2021,"Planica (SLO)","Men"
"121","2021JP3002RL","pavlovcic bor",185.8,104.8,207,128.4,51.5,"1st round",5.9,0,2021,"Planica (SLO)","Men"
"122","2021JP3002RL","pavlovcic bor",171.6,105,198,117.6,49.5,"2nd round",4.5,0,2021,"Planica (SLO)","Men"
"123","2021JP3002RL","pavlovcic bor",180.1,104.8,203.5,124.2,51,"3rd round",4.9,0,2021,"Planica (SLO)","Men"
"124","2021JP3002RL","pavlovcic bor",178,104.9,203.5,124.2,51,"final round",2.8,0,2021,"Planica (SLO)","Men"
"125","2021JP3002RL","prevc domen",176.8,104.1,206,127.2,52,"1st round",-2.4,0,2021,"Planica (SLO)","Men"
"126","2021JP3002RL","prevc domen",177,104.1,206.5,127.8,51.5,"2nd round",-2.3,0,2021,"Planica (SLO)","Men"
"127","2021JP3002RL","prevc domen",176.5,104.2,201.5,121.8,50,"3rd round",4.7,0,2021,"Planica (SLO)","Men"
"128","2021JP3002RL","prevc domen",182.4,104.3,207.5,129,52,"final round",1.4,0,2021,"Planica (SLO)","Men"
"129","2021JP3002RL","forfang johann andre",169.8,103.9,202.5,123,49.5,"1st round",-2.7,0,2021,"Planica (SLO)","Men"
"130","2021JP3002RL","forfang johann andre",186.8,103.8,213,135.6,53.5,"2nd round",-2.3,0,2021,"Planica (SLO)","Men"
"131","2021JP3002RL","forfang johann andre",174.7,103.9,200,120,51,"3rd round",3.7,0,2021,"Planica (SLO)","Men"
"132","2021JP3002RL","forfang johann andre",179.1,103.9,205,126,51,"final round",2.1,0,2021,"Planica (SLO)","Men"
"133","2021JP3002RL","boyd-clowes mackenzie",167.9,104.4,200,120,50.5,"1st round",-2.6,0,2021,"Planica (SLO)","Men"
"134","2021JP3002RL","boyd-clowes mackenzie",182.6,104.2,212,134.4,52.5,"2nd round",-4.3,0,2021,"Planica (SLO)","Men"
"135","2021JP3002RL","boyd-clowes mackenzie",184.1,105,206,127.2,51,"3rd round",5.9,0,2021,"Planica (SLO)","Men"
"136","2021JP3002RL","boyd-clowes mackenzie",175.5,104.7,203,123.6,51,"final round",0.9,0,2021,"Planica (SLO)","Men"
"137","2021JP3002RL","bresadola giovanni",176.7,104,199.5,119.4,51,"1st round",6.3,0,2021,"Planica (SLO)","Men"
