saison;spieltag;spiel;tore_mannschaft1;tore_mannschaft2
21/22;30;3;24;23
21/22;30;4;24;28
21/22;30;5;25;26
21/22;30;6;34;25
21/22;30;7;33;26
21/22;30;8;32;23
21/22;30;9;26;28
21/22;31;1;28;23
21/22;31;2;18;23
21/22;31;3;26;26
21/22;31;4;24;28
21/22;31;5;27;28
21/22;31;6;22;26
21/22;31;7;25;31
21/22;31;8;22;27
21/22;31;9;22;32
21/22;32;1;31;26
21/22;32;2;30;28
21/22;32;3;29;31
21/22;32;4;24;31
21/22;32;5;24;37
21/22;32;6;29;22
21/22;32;7;28;27
21/22;32;8;35;25
21/22;32;9;30;25
21/22;33;1;21;24
21/22;33;2;26;33
21/22;33;3;27;22
21/22;33;4;33;33
21/22;33;5;23;23
21/22;33;6;22;21
21/22;33;7;21;20
21/22;33;8;27;32
21/22;33;9;31;36
21/22;34;1;42;35
21/22;34;2;37;34
21/22;34;3;26;26
21/22;34;4;22;28
21/22;34;5;30;28
21/22;34;6;28;24
21/22;34;7;28;25
21/22;34;8;26;22
21/22;34;9;33;26
20/21;1;1;27;31
20/21;1;2;26;25
20/21;1;3;27;19
20/21;1;4;33;26
20/21;1;5;20;25
20/21;1;6;36;30
20/21;1;7;30;20
20/21;1;8;27;29
20/21;1;9;23;25
20/21;1;10;28;32
20/21;2;1;34;31
20/21;2;2;22;32
20/21;2;3;27;21
20/21;2;4;28;23
20/21;2;5;24;26
20/21;2;6;22;29
20/21;2;7;33;26
20/21;2;8;31;23
20/21;2;9;29;25
20/21;2;10;24;29
20/21;3;1;28;22
20/21;3;2;27;23
20/21;3;3;24;22
20/21;3;4;31;22
20/21;3;5;28;30
20/21;3;6;24;24
20/21;3;7;29;24
20/21;3;8;33;27
20/21;3;9;31;21
20/21;3;10;26;31
20/21;4;1;23;28
20/21;4;2;31;27
20/21;4;3;29;22
20/21;4;4;22;28
20/21;4;5;24;24
20/21;4;6;29;21
20/21;4;7;27;27
20/21;4;8;26;26
20/21;4;9;26;29
20/21;4;10;33;27
20/21;5;1;30;30
20/21;5;2;22;25
20/21;5;3;31;23
20/21;5;4;26;27
20/21;5;5;29;35
20/21;5;6;25;33
20/21;5;7;32;22
20/21;5;8;29;30
20/21;5;9;20;26
20/21;5;10;31;26
20/21;6;1;28;28
20/21;6;2;30;24
20/21;6;3;27;27
20/21;6;4;20;26
20/21;6;5;25;30
20/21;6;6;36;27
20/21;6;7;41;26
20/21;6;8;35;28
20/21;6;9;33;28
20/21;6;10;26;28
20/21;7;1;31;33
20/21;7;2;26;32
20/21;7;3;34;25
20/21;7;4;27;24
20/21;7;5;31;22
20/21;7;6;31;25
20/21;7;7;29;36
20/21;7;8;32;26
20/21;7;9;26;23
20/21;7;10;36;20
20/21;8;1;26;18
20/21;8;2;31;26
20/21;8;3;26;30
20/21;8;4;27;32
20/21;8;5;26;33
20/21;8;6;33;30
20/21;8;7;20;20
20/21;8;8;29;33
20/21;8;9;24;28
20/21;8;10;24;27
20/21;9;1;29;11
20/21;9;2;32;34
20/21;9;3;20;29
20/21;9;4;29;31
20/21;9;5;41;26
20/21;9;6;34;30
20/21;9;7;32;32
20/21;9;8;34;28
20/21;9;9;31;23
20/21;9;10;26;26
20/21;10;1;37;24
20/21;10;2;36;24
20/21;10;3;30;24
20/21;10;4;24;23
20/21;10;5;25;32
20/21;10;6;33;29
20/21;10;7;28;31
20/21;10;8;25;32
20/21;10;9;26;26
20/21;10;10;32;31
20/21;11;1;28;24
20/21;11;2;30;29
20/21;11;3;32;30
20/21;11;4;30;22
20/21;11;5;29;19
20/21;11;6;30;23
20/21;11;7;25;29
20/21;11;8;30;28
20/21;11;9;30;25
20/21;11;10;24;29
20/21;12;1;27;32
20/21;12;2;32;28
20/21;12;3;36;29
20/21;12;4;30;26
20/21;12;5;21;21
20/21;12;6;23;34
20/21;12;7;31;31
20/21;12;8;26;26
20/21;12;9;26;39
20/21;12;10;27;31
20/21;13;1;31;25
20/21;13;2;36;26
20/21;13;3;28;23
20/21;13;4;24;28
20/21;13;5;36;30
20/21;13;6;35;28
20/21;13;7;36;26
20/21;13;8;28;19
20/21;13;9;21;29
20/21;13;10;29;28
20/21;14;1;29;26
20/21;14;2;28;27
20/21;14;3;27;34
20/21;14;4;21;21
20/21;14;5;20;29
20/21;14;6;29;27
20/21;14;7;24;23
20/21;14;8;28;20
20/21;14;9;23;30
20/21;14;10;19;28
20/21;15;1;33;23
20/21;15;2;23;20
20/21;15;3;23;23
20/21;15;4;24;24
20/21;15;5;32;23
20/21;15;6;31;23
20/21;15;7;29;27
20/21;15;8;35;29
20/21;15;9;28;30
20/21;15;10;34;27
20/21;16;1;26;30
20/21;16;2;33;25
20/21;16;3;24;29
20/21;16;4;39;24
20/21;16;5;23;29
20/21;16;6;29;36
20/21;16;7;35;29
20/21;16;8;33;29
20/21;16;9;27;30
20/21;16;10;22;33
20/21;17;1;20;27
20/21;17;2;23;29
20/21;17;3;30;23
20/21;17;4;24;22
20/21;17;5;31;22
20/21;17;6;28;28
20/21;17;7;33;26
20/21;17;8;31;21
20/21;17;9;25;26
20/21;17;10;33;30
20/21;18;1;26;29
20/21;18;2;34;26
20/21;18;3;28;35
20/21;18;4;30;27
20/21;18;5;26;33
20/21;18;6;29;28
20/21;18;7;34;32
20/21;18;8;29;30
20/21;18;9;29;30
20/21;18;10;25;30
20/21;19;1;31;28
20/21;19;2;26;24
20/21;19;3;27;17
20/21;19;4;27;27
20/21;19;5;27;26
20/21;19;6;23;29
20/21;19;7;24;24
20/21;19;8;27;27
20/21;19;9;30;22
20/21;19;10;25;26
20/21;20;1;31;29
20/21;20;2;25;26
20/21;20;3;27;27
20/21;20;4;27;23
20/21;20;5;32;22
20/21;20;6;31;32
20/21;20;7;28;29
20/21;20;8;23;25
20/21;20;9;43;22
20/21;20;10;23;24
20/21;21;1;29;24
20/21;21;2;21;29
20/21;21;3;32;37
20/21;21;4;31;32
20/21;21;5;27;23
20/21;21;6;27;29
20/21;21;7;31;27
20/21;21;8;28;25
20/21;21;9;28;23
20/21;21;10;29;22
20/21;22;1;25;25
20/21;22;2;24;29
20/21;22;3;23;19
20/21;22;4;31;24
20/21;22;5;27;20
20/21;22;6;29;24
20/21;22;7;26;33
20/21;22;8;30;21
20/21;22;9;24;25
20/21;22;10;30;32
20/21;23;1;24;25
20/21;23;2;30;30
20/21;23;3;31;28
20/21;23;4;29;27
20/21;23;5;27;28
20/21;23;6;20;25
20/21;23;7;22;32
20/21;23;8;22;19
20/21;23;9;26;26
20/21;23;10;25;28
20/21;24;1;35;24
20/21;24;2;33;28
20/21;24;3;22;19
20/21;24;4;29;32
20/21;24;5;34;32
20/21;24;6;25;24
20/21;24;7;23;25
20/21;24;8;30;25
20/21;24;9;37;39
20/21;24;10;28;27
20/21;25;1;28;21
20/21;25;2;35;31
20/21;25;3;29;35
20/21;25;4;29;23
20/21;25;5;29;27
20/21;25;6;24;31
20/21;25;7;26;33
20/21;25;8;28;31
20/21;25;9;27;25
20/21;25;10;31;28
20/21;26;1;33;30
20/21;26;2;26;18
20/21;26;3;29;27
20/21;26;4;28;24
20/21;26;5;28;29
20/21;26;6;33;28
20/21;26;7;31;27
20/21;26;8;26;26
20/21;26;9;30;29
20/21;26;10;23;27
20/21;27;1;25;29
20/21;27;2;25;24
20/21;27;3;26;32
20/21;27;4;31;28
20/21;27;5;20;22
20/21;27;6;28;34
20/21;27;7;28;26
20/21;27;8;30;28
20/21;27;9;32;20
20/21;27;10;27;25
20/21;28;1;25;31
20/21;28;2;21;27
20/21;28;3;28;28
20/21;28;4;26;33
20/21;28;5;22;32
20/21;28;6;26;28
20/21;28;7;24;27
20/21;28;8;29;33
20/21;28;9;27;27
20/21;28;10;26;28
20/21;29;1;21;25
20/21;29;2;28;26
20/21;29;3;32;24
20/21;29;4;31;23
20/21;29;5;24;26
20/21;29;6;26;28
20/21;29;7;24;26
20/21;29;8;32;28
20/21;29;9;19;24
20/21;29;10;29;29
20/21;30;1;27;27
20/21;30;2;35;26
20/21;30;3;35;29
20/21;30;4;35;27
20/21;30;5;30;30
20/21;30;6;28;22
20/21;30;7;38;34
20/21;30;8;26;30
20/21;30;9;33;34
20/21;30;10;25;29
20/21;31;1;30;31
20/21;31;2;28;26
20/21;31;3;25;24
20/21;31;4;28;36
20/21;31;5;20;22
20/21;31;6;26;26
20/21;31;7;30;24
20/21;31;8;25;23
20/21;31;9;26;33
20/21;31;10;26;31
20/21;32;1;30;26
20/21;32;2;23;23
20/21;32;3;25;35
20/21;32;4;30;22
20/21;32;5;27;22
20/21;32;6;37;25
20/21;32;7;30;22
20/21;32;8;22;33
20/21;32;9;30;33
20/21;32;10;25;30
20/21;33;1;24;21
20/21;33;2;25;28
20/21;33;3;29;28
20/21;33;4;33;28
20/21;33;5;32;30
20/21;33;6;27;29
20/21;33;7;28;24
20/21;33;8;30;28
20/21;33;9;25;32
20/21;33;10;34;33
20/21;34;1;30;32
20/21;34;2;26;30
20/21;34;3;31;23
20/21;34;4;27;27
20/21;34;5;27;27
20/21;34;6;30;35
20/21;34;7;21;29
20/21;34;8;27;26
20/21;34;9;31;22
20/21;34;10;29;25
20/21;35;1;29;20
20/21;35;2;37;29
20/21;35;3;35;29
20/21;35;4;26;28
20/21;35;5;30;28
20/21;35;6;26;29
20/21;35;7;31;23
20/21;35;8;29;33
20/21;35;9;20;28
20/21;35;10;31;35
20/21;36;1;22;27
20/21;36;2;36;30
20/21;36;3;29;26
20/21;36;4;25;27
20/21;36;5;24;27
20/21;36;6;20;29
20/21;36;7;30;26
20/21;36;8;28;30
20/21;36;9;24;23
20/21;36;10;28;38
20/21;37;1;32;35
20/21;37;2;24;21
20/21;37;3;30;31
20/21;37;4;26;27
20/21;37;5;30;26
20/21;37;6;33;23
20/21;37;7;27;27
20/21;37;8;37;29
20/21;37;9;24;24
20/21;37;10;23;33
20/21;38;1;32;27
20/21;38;2;31;32
20/21;38;3;38;26
20/21;38;4;31;28
20/21;38;5;25;25
20/21;38;6;29;27
20/21;38;7;28;25
20/21;38;8;26;26
20/21;38;9;25;27
20/21;38;10;30;31
19/20;1;1;38;26
19/20;1;2;28;32
19/20;1;3;21;26
19/20;1;4;24;23
19/20;1;5;19;24
19/20;1;6;31;24
19/20;1;7;23;26
19/20;1;8;36;30
19/20;1;9;29;24
19/20;2;1;30;27
19/20;2;2;24;24
19/20;2;3;21;25
19/20;2;4;25;31
19/20;2;5;24;27
19/20;2;6;25;23
19/20;2;7;30;23
19/20;2;8;24;32
19/20;2;9;21;29
19/20;3;1;30;27
19/20;3;2;30;24
19/20;3;3;27;27
19/20;3;4;31;28
19/20;3;5;39;27
19/20;3;6;25;29
19/20;3;7;26;23
19/20;3;8;31;23
19/20;3;9;23;26
19/20;4;1;24;21
19/20;4;2;34;27
19/20;4;3;32;31
19/20;4;4;17;27
19/20;4;5;25;28
19/20;4;6;33;30
19/20;4;7;26;36
19/20;4;8;24;24
19/20;4;9;36;23
19/20;5;1;37;26
19/20;5;2;31;29
19/20;5;3;29;23
19/20;5;4;28;24
19/20;5;5;30;24
19/20;5;6;36;27
19/20;5;7;26;26
19/20;5;8;34;27
19/20;5;9;26;25
19/20;6;1;26;23
19/20;6;2;29;34
19/20;6;3;23;28
19/20;6;4;33;34
19/20;6;5;19;23
19/20;6;6;28;32
19/20;6;7;26;31
19/20;6;8;24;31
19/20;6;9;30;22
19/20;7;1;31;26
19/20;7;2;29;28
19/20;7;3;23;22
19/20;7;4;35;32
19/20;7;5;31;22
19/20;7;6;29;1
19/20;7;7;33;31
19/20;7;8;26;25
19/20;7;9;36;26
19/20;8;1;30;21
19/20;8;2;33;30
19/20;8;3;23;27
19/20;8;4;27;23
19/20;8;5;29;26
19/20;8;6;31;25
19/20;8;7;26;23
19/20;8;8;27;30
19/20;8;9;30;32
19/20;9;1;31;23
19/20;9;2;26;26
19/20;9;3;27;26
19/20;9;4;29;29
19/20;9;5;26;31
19/20;9;6;31;28
19/20;9;7;27;24
19/20;9;8;29;21
19/20;9;9;23;27
19/20;10;1;29;26
19/20;10;2;29;29
19/20;10;3;33;28
19/20;10;4;28;27
19/20;10;5;34;32
19/20;10;6;26;30
19/20;10;7;25;25
19/20;10;8;31;30
19/20;10;9;25;26
19/20;11;1;38;26
19/20;11;2;30;29
19/20;11;3;27;27
19/20;11;4;23;23
19/20;11;5;23;22
19/20;11;6;25;26
19/20;11;7;34;27
19/20;11;8;30;30
19/20;11;9;25;31
19/20;12;1;26;25
19/20;12;2;25;24
19/20;12;3;25;25
19/20;12;4;31;34
19/20;12;5;24;34
19/20;12;6;28;22
19/20;12;7;27;19
19/20;12;8;25;25
19/20;12;9;31;29
19/20;13;1;27;32
19/20;13;2;18;27
19/20;13;3;27;29
19/20;13;4;28;29
19/20;13;5;32;23
19/20;13;6;26;32
19/20;13;7;25;31
19/20;13;8;19;12
19/20;13;9;32;27
